group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Layer 1,Mup18,60.194614,0.74729514,0.0,0.0,0.9994438264738599,0.9753694581280788
Layer 1,Mup17,59.516415,0.5000456,0.0,0.0,1.0,0.9986817456462915
Layer 1,Oat,56.83343,0.38078767,0.0,0.0,1.0,0.9979879275653923
Layer 1,Ank2,56.111294,0.45375904,0.0,0.0,1.0,0.9951432734337057
Layer 1,Cyp2e1,55.58551,0.39728382,0.0,0.0,1.0,0.9985429820301117
Layer 1,Mup9,52.693348,1.2601463,0.0,0.0,0.9783092324805339,0.8113508638035107
Layer 1,Glul,52.07429,1.0769833,0.0,0.0,0.9849833147942157,0.8690765281343232
Layer 1,Cyp2c29,49.623814,0.7952194,0.0,0.0,0.9961067853170189,0.9130645944633318
Layer 1,Cyp2c37,48.408512,1.4080373,0.0,0.0,0.9582869855394883,0.6480954693679317
Layer 1,Cyp2c50,46.562374,0.67004323,0.0,0.0,0.9949944382647385,0.9308957191424408
Layer 1,Slc1a2,46.536804,1.9427447,0.0,0.0,0.8781979977753059,0.4373829181988483
Layer 1,Cyp3a11,45.48753,0.22798976,0.0,0.0,1.0,0.9993755637271907
Layer 1,Aldh3a2,44.38975,1.0941471,0.0,0.0,0.9660734149054505,0.7454381461180878
Layer 1,Gsta3,41.514328,0.6781784,0.0,0.0,0.9844271412680756,0.8966904877541109
Layer 1,Mup15,40.551445,0.60255057,0.0,0.0,0.9883203559510567,0.9268021924651356
Layer 1,Rgn,38.331863,0.5985538,0.0,0.0,0.9927697441601779,0.918823284534795
Layer 1,Elovl3,36.18723,0.42178985,9.669065088085371e-287,7.353323999488924e-284,0.9922135706340378,0.9635051689447027
Layer 1,Slc22a1,35.285763,0.40630677,9.710325014122347e-273,6.8166481599138875e-270,0.9955506117908788,0.964962186914591
Layer 1,Cyp1a2,34.831303,0.57542366,8.171359363548126e-266,5.523838929758533e-263,0.9888765294771968,0.9082772497051274
Layer 1,Cyp2c54,33.801056,0.8992309,1.9030160568919618e-250,1.1977189334617961e-247,0.9327030033370411,0.7265662943176299
Layer 1,Slco1b2,33.602795,0.22674893,1.5270870116382695e-247,9.290797378807231e-245,0.9994438264738599,0.993131200999098
Layer 1,Mup16,33.07929,0.26913404,5.900979818342925e-240,3.474344633690164e-237,0.9961067853170189,0.9873725109276348
Layer 1,Cyp2c67,32.27063,0.62493366,1.807019537927387e-228,9.70050606066196e-226,0.9699666295884316,0.8643585651842087
Layer 1,Aldh1a1,31.224796,0.14423552,4.909895675513336e-214,2.4220382667424166e-211,0.9994438264738599,0.9977797821411226
Layer 1,Gm28035,30.948881,0.6680609,2.6301703379284968e-210,1.2633123423123928e-207,0.9605116796440489,0.8171789356830639
Layer 1,Orm2,30.670315,0.788095,1.4166130787227967e-206,6.464005478212121e-204,0.924916573971079,0.7482828002497746
Layer 1,Lect2,30.553991,0.5167525,5.004815411700077e-205,2.227997338886581e-202,0.9783092324805339,0.9039061957954624
Layer 1,Ugt1a10,29.695599,0.28098834,8.752369951889273e-194,3.715075729346117e-191,0.9916573971078977,0.9757163671685284
Layer 1,Pon1,29.36379,0.23715319,1.5932903836571963e-189,6.462385796113588e-187,0.9933259176863182,0.9850829112606675
Layer 1,Car3,28.476763,0.6835036,2.272789215517367e-178,8.642280992004787e-176,0.9343715239154616,0.7842919586484424
Layer 1,Cyp2a5,28.141079,1.9152997,3.0814164474326086e-174,1.147796183643673e-171,0.5850945494994438,0.20703531534031777
Layer 1,Dlec1,27.330502,0.47703743,1.8416862297316424e-164,6.464318666358065e-162,0.9694104560622915,0.8971761604107403
Layer 1,Fabp1,27.239882,0.070052385,2.1901954846114592e-163,7.542537355684594e-161,1.0,1.0
Layer 1,Gulo,25.264334,0.45882848,7.881156957587421e-141,2.523629417366414e-138,0.9705228031145717,0.8930132519253452
Layer 1,Cyp2c68,24.865068,0.5774861,1.7769429317570897e-136,5.497078371259391e-134,0.9293659621802002,0.8056615555401374
Layer 1,Mup11,24.697796,0.07083339,1.1294123764325562e-134,3.379349949942133e-132,1.0,1.0
Layer 1,Tsc22d1,24.575233,0.7235972,2.3247406205556237e-133,6.735105683552579e-131,0.8793103448275862,0.6915284812322209
Layer 1,Cyp4a12b,23.754929,1.0859681,9.771487208142652e-125,2.584770790188691e-122,0.6924360400444939,0.4226739748837855
Layer 1,Lhpp,23.6855,0.93447787,5.0869501713815e-124,1.3077044299726076e-121,0.756952169076752,0.5230000693818081
Layer 1,Cyp4a12a,23.537943,0.71809965,1.6682951069531487e-122,4.229128096126232e-120,0.864293659621802,0.6784847013113162
Layer 1,Acox1,23.033024,0.14592196,2.176606685581879e-117,5.227292792794797e-115,0.9983314794215795,0.9929230555748283
Layer 1,Serpina7,22.903301,1.6996678,4.307220032841769e-116,1.0209789615510127e-113,0.5100111234705228,0.2030805522791924
Layer 1,Acaa1b,22.687187,0.6635125,5.995190752636242e-114,1.4028746361168804e-111,0.8620689655172413,0.6957607715257059
Layer 1,Cyp4a14,22.259876,0.17341518,9.049641115438106e-110,2.064675620487204e-107,0.9938820912124583,0.9859154929577465
Layer 1,Fitm1,21.410667,1.4504654,1.0627979266582277e-101,2.2556032276006945e-99,0.5239154616240267,0.24755429126483036
Layer 1,Cyp27a1,21.193848,0.6939043,1.088314995396054e-99,2.2319017186481773e-97,0.8375973303670745,0.6482342329841115
Layer 1,Rnase4,21.126286,0.115598194,4.560416471960052e-99,9.146892466617018e-97,0.9994438264738599,0.997432873100673
Layer 1,Ces1d,20.784788,0.7894756,5.942594326414353e-96,1.1417287541654186e-93,0.7647385984427141,0.5555401373759801
Layer 1,Cyp4a10,20.759705,0.16154495,1.001815791215945e-95,1.9047022730493154e-93,0.9894327030033371,0.9869562200790952
Layer 1,Acot1,20.723648,1.107436,2.1199840243538648e-95,3.989066846650179e-93,0.6045606229143493,0.35322278498577675
Layer 1,Pah,20.674694,0.18806545,5.853779867741802e-95,1.0902366341430956e-92,0.9899888765294772,0.9800874210781932
Layer 1,Acsl1,20.549952,0.2795375,7.703964693637134e-94,1.3922055800818314e-91,0.9733036707452726,0.9423437174772774
Layer 1,Blvrb,20.312456,0.57008284,9.978637730220556e-92,1.7855891750194665e-89,0.8726362625139044,0.7340595295913411
Layer 1,Phyh,20.309137,0.0898662,1.0676214831892587e-91,1.8918667292398395e-89,0.9972191323692993,0.9972247276764032
Layer 1,Gstm2,20.175415,0.7589866,1.6100627315049256e-90,2.772345752398859e-88,0.7658509454949944,0.5685839172968847
Layer 1,Gstm1,19.290813,0.15107158,6.415691681309765e-83,1.0645382233387803e-80,0.9949944382647385,0.9892458197460626
Layer 1,Cyp3a25,19.217283,0.2153352,2.652973761240968e-82,4.3623492874027156e-80,0.9899888765294772,0.9724554221883023
Layer 1,Entpd5,19.196215,0.44153568,3.9807310893975146e-82,6.429761402095879e-80,0.9121245828698554,0.8187053354610421
Layer 1,Ugt2b34,19.09305,0.20428574,2.8842441796102603e-81,4.577671718804041e-79,0.9805339265850945,0.9687781863595365
Layer 1,Rarres1,19.07805,0.86728626,3.8432205122384446e-81,5.995423999091974e-79,0.6657397107897665,0.4455699715534587
Layer 1,Vnn1,18.699926,1.024097,4.957351132469367e-78,7.667929904222956e-76,0.5834260289210234,0.3510025671268993
Layer 1,Rdh16f1,18.62128,0.76324975,2.1598838289743632e-77,3.2851833038700063e-75,0.710789766407119,0.5182821064316936
Layer 1,Slc13a3,18.3836,1.8930079,1.7776782638125064e-75,2.659523251729989e-73,0.382091212458287,0.12953583570387844
Layer 1,Aqp9,17.991405,0.20693737,2.2751153663353106e-72,3.2697169816025266e-70,0.9866518353726362,0.968361895510997
Layer 1,Cyb5a,17.985415,0.07373464,2.5348437221219303e-72,3.6145287200132395e-70,1.0,0.9993755637271907
Layer 1,Cd36,17.708889,1.0289537,3.580677999669944e-70,4.98889579007449e-68,0.5539488320355951,0.329910497467564
Layer 1,Fam25c,17.55954,0.16788217,5.028128113262356e-69,6.952529872974585e-67,0.9905450500556173,0.9812669118157219
Layer 1,Adh1,17.400084,0.09959463,8.238244465662327e-68,1.130559684114803e-65,0.9994438264738599,0.996600291403594
Layer 1,Aldh2,17.283806,0.10401993,6.229886470684421e-67,8.360874107568533e-65,0.996662958843159,0.995698327898425
Layer 1,Ang,17.056759,0.16697297,3.1136055670933707e-65,4.1481407890940293e-63,0.9933259176863182,0.9838340387150489
Layer 1,Ugt2b1,16.917614,0.4907865,3.336779476737281e-64,4.381503525856752e-62,0.8548387096774194,0.7269132033580795
Layer 1,Hsd3b5,16.803291,0.64548534,2.308694627212758e-63,3.00987816684909e-61,0.7191323692992213,0.5630333726496912
Layer 1,Por,16.393257,0.20689395,2.1368173306508638e-60,2.727355938394375e-58,0.9766407119021134,0.960729896621106
Layer 1,Hpgd,16.308163,0.5457879,8.635033584593915e-60,1.0869422964552285e-57,0.7691879866518354,0.6347741622146673
Layer 1,Cyp2c38,15.844001,2.032917,1.5465988811328671e-56,1.9073326201646684e-54,0.3164627363737486,0.09380420453757025
Layer 1,Itm2b,15.838007,0.09909819,1.7012799602391162e-56,2.0840108613613657e-54,0.9983314794215795,0.9947269825851661
Layer 1,Chpt1,15.652032,0.5087793,3.2177881188310203e-55,3.9154045829935857e-53,0.7853170189098999,0.6615555401373759
Layer 1,Nat8f5,15.422832,1.108479,1.1495210153906269e-53,1.3803327350598502e-51,0.4549499443826474,0.2518559633664053
Layer 1,Ftl1,15.266285,0.034824062,1.2827501636931217e-52,1.5302454893939123e-50,1.0,1.0
Layer 1,Hmgcs1,15.263266,0.50404024,1.3435238950822377e-52,1.5923375411065587e-50,0.8042269187986651,0.6655796850065913
Layer 1,Cyp2c40,15.169742,2.033431,5.609759585383444e-52,6.563418714898629e-50,0.3025583982202447,0.08790675084992715
Layer 1,Ftl1-ps1,14.948014,0.04368686,1.6046196450626727e-50,1.8654469911900573e-48,1.0,0.9995837091514604
Layer 1,Acat1,14.878177,0.22432254,4.567800261357014e-50,5.276676605714444e-48,0.9671857619577308,0.9368625546381739
Layer 1,Cpox,14.769872,0.33497113,2.2914794687097294e-49,2.630445488232074e-47,0.907119021134594,0.8302227156039687
