group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Layer 1,Mup18,60.194614,0.74729514,0.0,0.0,0.9994438264738599,0.9753694581280788
Layer 1,Mup17,59.516415,0.5000456,0.0,0.0,1.0,0.9986817456462915
Layer 1,Oat,56.83343,0.38078767,0.0,0.0,1.0,0.9979879275653923
Layer 1,Ank2,56.111294,0.45375904,0.0,0.0,1.0,0.9951432734337057
Layer 1,Cyp2e1,55.58551,0.39728382,0.0,0.0,1.0,0.9985429820301117
Layer 1,Mup9,52.693348,1.2601463,0.0,0.0,0.9783092324805339,0.8113508638035107
Layer 1,Glul,52.07429,1.0769833,0.0,0.0,0.9849833147942157,0.8690765281343232
Layer 1,Cyp2c29,49.623814,0.7952194,0.0,0.0,0.9961067853170189,0.9130645944633318
Layer 1,Cyp2c37,48.408512,1.4080373,0.0,0.0,0.9582869855394883,0.6480954693679317
Layer 1,Cyp2c50,46.562374,0.67004323,0.0,0.0,0.9949944382647385,0.9308957191424408
Layer 1,Slc1a2,46.536804,1.9427447,0.0,0.0,0.8781979977753059,0.4373829181988483
Layer 1,Cyp3a11,45.48753,0.22798976,0.0,0.0,1.0,0.9993755637271907
Layer 1,Aldh3a2,44.38975,1.0941471,0.0,0.0,0.9660734149054505,0.7454381461180878
Layer 1,Gsta3,41.514328,0.6781784,0.0,0.0,0.9844271412680756,0.8966904877541109
Layer 1,Mup15,40.551445,0.60255057,0.0,0.0,0.9883203559510567,0.9268021924651356
Layer 1,Rgn,38.331863,0.5985538,0.0,0.0,0.9927697441601779,0.918823284534795
Layer 1,Elovl3,36.18723,0.42178985,9.669065088085371e-287,7.353323999488924e-284,0.9922135706340378,0.9635051689447027
Layer 1,Slc22a1,35.285763,0.40630677,9.710325014122347e-273,6.8166481599138875e-270,0.9955506117908788,0.964962186914591
Layer 1,Cyp1a2,34.831303,0.57542366,8.171359363548126e-266,5.523838929758533e-263,0.9888765294771968,0.9082772497051274
Layer 1,Cyp2c54,33.801056,0.8992309,1.9030160568919618e-250,1.1977189334617961e-247,0.9327030033370411,0.7265662943176299
Layer 2,Mup17,46.771606,0.37240678,0.0,0.0,1.0,0.9986811050950992
Layer 2,Ank2,44.986515,0.3675645,0.0,0.0,1.0,0.9951409135082604
Layer 2,Cyp2e1,44.714706,0.3192603,0.0,0.0,1.0,0.9985422740524781
Layer 2,Oat,44.2508,0.28687897,0.0,0.0,0.9994459833795014,0.9980563654033042
Layer 2,Mup18,43.93409,0.53879035,0.0,0.0,0.9977839335180055,0.9755657364986811
Layer 2,Cyp2c29,40.73969,0.6711746,0.0,0.0,0.9878116343490305,0.9140635846175205
Layer 2,Cyp3a11,37.307327,0.18789074,1.2483118139405403e-304,3.2548838897203913e-301,1.0,0.9993752603082049
Layer 2,Cyp2c50,35.93004,0.551156,1.0377610737586763e-282,2.1045794575825955e-279,0.9944598337950139,0.9309315562959878
Layer 2,Mup9,32.620365,0.79654384,2.109612670617221e-233,3.208720872008793e-230,0.9445983379501385,0.8154935443565181
Layer 2,Cyp2c37,32.439396,0.9991453,7.643728496311019e-231,1.073179480882067e-227,0.9119113573407203,0.6537553797029015
Layer 2,Glul,31.58767,0.6587958,5.452973962137368e-219,7.109120054066516e-216,0.9667590027700831,0.8713036234902124
Layer 2,Aldh3a2,31.012405,0.8129087,3.6678838402828415e-211,4.463081056856161e-208,0.9368421052631579,0.7489934749409968
Layer 2,Mup15,28.996439,0.4363108,7.296226157730413e-185,7.398373323938638e-182,0.9767313019390582,0.9282243509648758
Layer 2,Elovl3,28.296629,0.34580293,3.8022234108366074e-176,3.652535878662619e-173,0.9916897506925207,0.9635568513119533
Layer 2,Rgn,28.014668,0.46123633,1.0768689575926254e-172,9.8275061069903e-170,0.9861495844875346,0.9196168263223656
Layer 2,Gsta3,27.38929,0.49561188,3.67901192477836e-165,3.197586935764506e-162,0.9817174515235457,0.8969873663751214
Layer 2,Cyp2c54,27.271486,0.75755054,9.244187001544339e-164,7.669313688735785e-161,0.9163434903047092,0.7285158961543802
Layer 2,Cyp2c67,26.9545,0.544808,5.051822445306841e-160,4.0089505770321944e-157,0.9667590027700831,0.8647091489657087
Layer 2,Slco1b2,26.000439,0.17045347,4.89596938251106e-149,3.7233847153996614e-146,0.9950138504155125,0.9936831875607386
Layer 2,Slc1a2,25.16307,1.1152045,1.0166806155092662e-139,7.422581837710051e-137,0.7368421052631579,0.4548799111481327
Layer 3,Cyp2e1,32.281433,0.2441593,1.2746560263556511e-228,2.326502179304334e-224,1.0,0.9985422740524781
Layer 3,Ank2,31.00133,0.27306795,5.1727708572705786e-211,4.72067068434513e-207,0.9994459833795014,0.995210329029571
Layer 3,Cyp2c29,29.386389,0.5392861,8.197140473130904e-190,4.987140263852842e-186,0.9894736842105263,0.9138553380535888
Layer 3,Oat,28.890856,0.19604461,1.555509888273636e-183,7.097791620192601e-180,1.0,0.9979869498819937
Layer 3,Cyp3a11,27.261795,0.14475422,1.2044498086102351e-163,4.396723581350802e-160,1.0,0.9993752603082049
Layer 3,Mup17,27.093122,0.20157275,1.1866124463673085e-161,3.609675061849352e-158,1.0,0.9986811050950992
Layer 3,Cyp2c50,24.712908,0.41979367,7.770329081134573e-135,1.7728005798608527e-131,0.9872576177285318,0.9318339580730252
Layer 3,Mup18,21.449093,0.28129205,4.656487458857593e-102,7.726382645369889e-99,0.9944598337950139,0.9759822296265445
Layer 3,Elovl3,20.136198,0.25860634,3.5560281725710193e-90,5.40871885048052e-87,0.9861495844875346,0.964251006525059
Layer 3,Aldh3a2,18.856258,0.5485996,2.6104966131143204e-79,3.665137244812506e-76,0.9024930747922437,0.7532972372622518
Layer 3,Slco1b2,18.166185,0.13328625,9.56177651621129e-74,9.695641387438249e-71,0.997229916897507,0.9934055254754963
Layer 3,Rgn,18.122377,0.31837577,2.12221775518154e-73,2.0386693930301826e-70,0.9689750692520775,0.9217687074829932
Layer 3,Rnase4,18.028313,0.1025661,1.1680095533497082e-72,1.0659255183869437e-69,0.9983379501385041,0.9975704567541303
Layer 3,Cyp2c37,17.625437,0.6121383,1.571514811549053e-69,1.3658708733520626e-66,0.8559556786703602,0.6607663473552686
Layer 3,Cyp2c54,17.37415,0.5289075,1.2951134298968043e-67,1.0744731964762032e-64,0.8853185595567867,0.7324031653477717
Layer 3,Cyp2c67,16.82171,0.36787948,1.6920290661116414e-63,1.3427354136812905e-60,0.9445983379501385,0.8674857698181313
Layer 3,Gsta3,16.191948,0.32600546,5.747954309050002e-59,4.196466481951225e-56,0.9650969529085872,0.8990698320144385
Layer 3,Pon1,16.171621,0.1407259,7.996694898793735e-59,5.613679818953202e-56,0.9922437673130194,0.9852144939608496
Layer 3,Cyp2c68,15.082685,0.38262603,2.1052756800581998e-51,1.3250169556007676e-48,0.9052631578947369,0.8086214077467722
Layer 3,Lect2,14.584189,0.28305206,3.5410443564883626e-48,2.1543713864875196e-45,0.9617728531855956,0.9059419686241844
Layer 4,Hamp,16.960691,0.3012638,1.604459545523032e-64,2.928459562488638e-60,0.9678313921242374,0.9197667962243198
Layer 4,Cyp2e1,15.021868,0.13498358,5.2798479955346866e-51,3.212259520483303e-47,0.9994453688297282,0.998611882287618
Layer 4,Ank2,13.951822,0.15053788,3.066698751845491e-44,1.3993346404670975e-40,0.9977814753189129,0.9954192115491394
Layer 4,Cyp2c50,13.276304,0.28649095,3.176893156402752e-40,9.664108981777171e-37,0.9839156960621187,0.9322598556357579
Layer 4,Rnase4,13.178957,0.081218526,1.1598337093212783e-39,3.0241835517902814e-36,0.9994453688297282,0.9974319822320933
Layer 4,Cyp3a11,12.830102,0.0771263,1.1121763129516182e-37,2.2554935626658816e-34,1.0,0.9993753470294281
Layer 4,Rgn,12.573255,0.2594082,2.9627245881832512e-36,4.690886352337427e-33,0.9717138103161398,0.9214325374791782
Layer 4,Oat,12.122125,0.09470778,8.064096934639836e-34,1.1321992096234329e-30,0.9994453688297282,0.9980566352026652
Layer 4,Elovl3,10.898789,0.16611841,1.1680092499239562e-27,1.3324065518507529e-24,0.9822518025513034,0.964741810105497
Layer 4,Pon1,9.838162,0.09935179,7.710655922464942e-23,8.278523052754713e-20,0.9922351636161952,0.9852165463631316
Layer 4,Igfbp2,9.476846,0.09114245,2.6208553714230244e-21,2.6575473466229465e-18,0.9883527454242929,0.9836896168795114
Layer 4,Cyp2c29,9.378956,0.24821271,6.6629044424109985e-21,6.400596414888714e-18,0.9706045479755963,0.9162270960577457
Layer 4,Igfbp1,9.29514,0.20578508,1.4701248888810375e-20,1.3416359735928347e-17,0.9240155296727676,0.8799972237645752
Layer 4,Ces1c,9.168303,0.057437,4.8052402880829763e-20,4.1764402732424044e-17,0.9966722129783694,0.9954886174347585
Layer 4,Slco1b2,9.141899,0.077669635,6.136520440518385e-20,5.091080503651889e-17,0.9955629506378258,0.9936146585230428
Layer 4,Cyp2c68,8.928438,0.2604738,4.320665107581709e-19,3.4287295453731025e-16,0.8924015529672767,0.8102443087173792
Layer 4,Cyp2c67,8.676111,0.22739388,4.095310735098426e-18,3.1144838140423526e-15,0.9295618413754853,0.8693781232648529
Layer 4,Ang,8.276072,0.094007984,1.273059580813834e-16,8.298529810362177e-14,0.9905712701053799,0.9841754580788451
Layer 4,Cyp1a2,7.8376617,0.17329614,4.5901301716974254e-15,2.7926351964607136e-12,0.9506378258458126,0.913034425319267
Layer 4,Cyp2c54,7.8028827,0.25824586,6.05088298174893e-15,3.5626037478348866e-12,0.824736550194121,0.7400055524708495
Layer 5,Hamp,12.869237,0.23345369,6.706109947366545e-38,1.2239991875933418e-33,0.9571984435797666,0.9211074104912573
Layer 5,Igfbp2,12.677943,0.12104408,7.83613773214383e-37,7.15125929435446e-33,0.9894385769872152,0.9835553705245629
Layer 5,Cps1,8.668428,0.043659016,4.381248957031159e-18,8.568179368957242e-15,1.0,0.9994449070219261
Layer 5,Arg1,7.322193,0.07421836,2.439508609419399e-13,3.4250700876248363e-10,0.9938854919399667,0.9910491257285595
Layer 5,Ass1,6.718819,0.028840782,1.8320332569703653e-11,2.2292180670815405e-08,0.9966648137854364,0.9975020815986678
